time_index,wind_0_MW,wind_0_N,wind_0_NE,wind_0_S,wind_0_SE,wind_1_MW,wind_1_N,wind_1_NE,wind_1_S,wind_1_SE,wind_2_MW,wind_2_N,wind_2_NE,wind_2_SE,solar_pv_0_MW,solar_pv_0_N,solar_pv_0_NE,solar_pv_0_SE,solar_pv_1_MW,solar_pv_1_N,solar_pv_1_NE,solar_pv_1_S,solar_pv_1_SE,solar_pv_2_MW,solar_pv_2_N,solar_pv_2_NE,solar_pv_2_S,solar_pv_2_SE
1911,0.038662289,0.038318808,0.098960829,0.251416277,0.088621173,0.018842644,0.094725975,0.048023204,0.236659785,0.058022095,0.008223226,0.103228526,0.057338043,0.03743354,0.602654571,0.626913602,0.565140833,0.662655,0.533664154,0.581915566,0.676185358,0.528370308,0.462582485,0.511579921,0.64443339,0.671234028,0.563759756,0.458768873
1912,0.025579225,0.049519578,0.08891921,0.280274568,0.087531504,0.014071556,0.075576999,0.034727044,0.268861844,0.039354423,0.007138964,0.087167161,0.032070471,0.020612836,0.580445535,0.631612066,0.5346175,0.731645,0.481624817,0.556047322,0.647992639,0.52440491,0.447655236,0.483565263,0.644197421,0.673894281,0.550304991,0.477461784
1913,0.014715192,0.049668059,0.087727667,0.29727475,0.073549655,0.011841379,0.05404606,0.030312525,0.276478129,0.025726542,0.005569822,0.064509054,0.028544807,0.008912629,0.51858106,0.581683559,0.598423333,0.64484,0.426200988,0.54490968,0.613536246,0.542858564,0.446035139,0.463728474,0.575535782,0.637413127,0.576257695,0.469218001
1914,0.012726728,0.04081409,0.097911506,0.296961216,0.063468519,0.009361658,0.035987725,0.028977632,0.28673227,0.015054957,0.006049245,0.047473373,0.03525785,0.004942443,0.507998792,0.580001166,0.479750833,0.55935,0.461447772,0.489567898,0.53076786,0.525888769,0.456414715,0.460185586,0.559242625,0.623065844,0.587745829,0.458584059
1915,0.009204832,0.040580568,0.117794205,0.284023938,0.051458,0.011828338,0.031969571,0.026139667,0.267441607,0.01032885,0.005055037,0.035735593,0.036896075,0.001816149,0.393964245,0.539582045,0.438549167,0.533265,0.375626069,0.429647788,0.409250532,0.546587231,0.343208327,0.355071811,0.474690877,0.539006779,0.514994576,0.38755076
1916,0.009802799,0.035920593,0.147298981,0.264422752,0.050501401,0.009185972,0.039937323,0.029297983,0.247294552,0.007518397,0.001606084,0.030010407,0.034538406,0,0.351352793,0.492780724,0.357470833,0.46599,0.353397456,0.407991389,0.338250323,0.485460295,0.283135642,0.333060317,0.420254227,0.391606473,0.468536465,0.282201029
1917,0.010077255,0.033904531,0.186795664,0.193520353,0.061333166,0.007821369,0.029278613,0.033727967,0.212480379,0.008076478,0.002369356,0.029104004,0.041947585,0.000231884,0.294657988,0.3177052,0.150344167,0.10473,0.275656467,0.257719382,0.156748078,0.385640474,0.190714885,0.272964515,0.245514128,0.118743195,0.343655236,0.12543513
1918,0.007506278,0.031610636,0.217768304,0.161976585,0.080188941,0.007336847,0.026608907,0.05748582,0.1797329,0.012980077,0.00499329,0.027877694,0.027067391,0.001594203,0.092916701,0.145695319,0,0,0.092333694,0.153964969,0,0.103143321,0,0.100577995,0.066349205,0,0.012842732,0
1919,0.013126389,0.069127493,0.275112549,0.169775402,0.087136858,0.011598613,0.053119204,0.098341872,0.153524257,0.022192502,0.002367763,0.033856119,0.058992089,0.003421946,0,1.08E-06,0,0,0,0,0,0,0,0,0,0,0,0
1920,0.017268179,0.101633959,0.289315363,0.13431192,0.073201419,0.013227748,0.068657959,0.116008218,0.137366031,0.025149733,0.01120729,0.044320857,0.072061051,0.004975569,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1921,0.020091257,0.139661146,0.270290092,0.117364695,0.058276673,0.013138484,0.084834079,0.143527843,0.126106026,0.02452818,0.013020313,0.061544148,0.079996196,0.007736646,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1922,0.02307382,0.132133777,0.243835816,0.108183277,0.041739376,0.010737665,0.095951804,0.158625215,0.119920584,0.021823338,0.012962698,0.077299811,0.081092633,0.006898551,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1923,0.025479879,0.112001828,0.197260297,0.105337578,0.036134212,0.009948364,0.090405973,0.151381759,0.115998053,0.020846179,0.016137141,0.075066304,0.059569565,0.010997101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1924,0.026323283,0.091908874,0.155923892,0.105090914,0.026990321,0.012225979,0.066990905,0.13728287,0.107288958,0.023560581,0.021258789,0.068545434,0.03873913,0.012319669,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1925,0.022855387,0.073774795,0.125012953,0.103751208,0.020358672,0.012074576,0.060133791,0.113571503,0.096973057,0.021924157,0.019537035,0.062532109,0.028265459,0.009504762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
