time_index,wind_0_MW,wind_0_N,wind_0_NE,wind_0_S,wind_0_SE,wind_1_MW,wind_1_N,wind_1_NE,wind_1_S,wind_1_SE,wind_2_MW,wind_2_N,wind_2_NE,wind_2_SE,solar_pv_0_MW,solar_pv_0_N,solar_pv_0_NE,solar_pv_0_SE,solar_pv_1_MW,solar_pv_1_N,solar_pv_1_NE,solar_pv_1_S,solar_pv_1_SE,solar_pv_2_MW,solar_pv_2_N,solar_pv_2_NE,solar_pv_2_S,solar_pv_2_SE
69,0.006115704,0.060444604,0.184068012,0.163455734,0.205449248,0.008903409,0.019036778,0.068859195,0.093281349,0.083229867,0.00640255,0.020328336,0.040029408,0.029448447,0.461553507,0.321264643,0.314814167,0.24077,0.459839528,0.239337804,0.133657704,0.626478474,0.341571218,0.465459667,0.275364993,0.110803708,0.384035476,0.289237892
70,0.011022583,0.063393757,0.20996291,0.193750382,0.216431361,0.013909832,0.028891087,0.078739253,0.131917074,0.12439659,0.003226228,0.019997698,0.04713285,0.047337474,0.304937967,0.144217126,0,0,0.309171112,0.069188118,0,0.461194808,0.107054418,0.259272002,0.05099738,0,0.256834122,0.03925839
71,0.018451377,0.087103764,0.259849215,0.205343402,0.233592901,0.020442199,0.037195095,0.103219066,0.151187557,0.140880891,0.016519626,0.041734111,0.067008213,0.072563975,0,3.41E-06,0,0,0,0,0,0.065822167,0,3.60E-07,0,0,2.28E-05,0
72,0.035684749,0.086353499,0.247461127,0.258591292,0.21926744,0.036887788,0.0590836,0.121935655,0.240817026,0.167164921,0.030653705,0.047009554,0.073747645,0.095484058,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0.049290636,0.089818253,0.22077249,0.292433674,0.201294758,0.064181338,0.064406548,0.131152325,0.328927092,0.180357406,0.042325665,0.056290364,0.073833816,0.085301863,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0.050820665,0.089214995,0.196132022,0.307661656,0.198104726,0.077202115,0.073846987,0.153248147,0.415723148,0.18744393,0.047285573,0.062647788,0.054559239,0.08887205,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0.053800743,0.08681267,0.167954961,0.309059482,0.186574618,0.069792081,0.073796867,0.124913663,0.48307304,0.193016021,0.054769399,0.059130395,0.039536413,0.090399172,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0.060441618,0.077739549,0.138763658,0.302167006,0.168415856,0.067384142,0.067371895,0.107826574,0.517764121,0.192157299,0.057699428,0.053724567,0.032412862,0.091028571,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0.06670104,0.074937011,0.112753011,0.285459137,0.147106995,0.066329397,0.06409469,0.093825606,0.500583808,0.18393963,0.053746328,0.046193294,0.026635628,0.08575735,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0.071790913,0.069318915,0.090386843,0.266858329,0.127734795,0.073576412,0.056651693,0.083254875,0.459224621,0.174113012,0.061460269,0.040793739,0.021562379,0.077392961,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0.076729055,0.061498424,0.084344651,0.245902054,0.113937274,0.071677775,0.054863404,0.079439257,0.416428508,0.159941114,0.068395051,0.038478887,0.020414976,0.062761077,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0.081315078,0.058200691,0.085885559,0.230826741,0.105881233,0.068515648,0.052447233,0.077902905,0.380132952,0.152501478,0.069492121,0.037021946,0.015427355,0.041658799,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0.082618443,0.052258652,0.088015806,0.219614589,0.097276842,0.071840016,0.055081171,0.080619783,0.344362929,0.144672605,0.062450448,0.03834386,0.010535326,0.02119089,0,0,0.0001525,0.00016,0,0,0.000716761,0,1.47E-06,0,0,0.031728666,0,0.0675211
82,0.083721373,0.042033892,0.09764613,0.206012714,0.088902603,0.076205527,0.056075198,0.093341767,0.308903533,0.13582044,0.039587611,0.038185626,0.00671721,0.01573499,0.228501639,0.096902363,0.352806667,0.0246,0.178648441,0.134632317,0.259092743,0.435683577,0.456996545,0.222985889,0.10865907,0.213661492,0.240731945,0.391985475
83,0.077792302,0.034537925,0.165318637,0.177739632,0.093482573,0.070803919,0.072825805,0.109589679,0.26315447,0.110366782,0.043494395,0.049069627,0.008099879,0.018120083,0.474455688,0.302719263,0.5363275,0.7022,0.489233583,0.283702631,0.463524557,0.742420487,0.670524982,0.503976954,0.290818292,0.418146655,0.424393131,0.554490427
84,0.049954402,0.035726598,0.211001395,0.13922947,0.088139558,0.046746426,0.080718923,0.133875122,0.197455485,0.092448914,0.021515343,0.043374207,0.0149968,0.014072878,0.592739729,0.433638924,0.663233333,0.827505,0.621925691,0.400006048,0.566670871,0.860085282,0.792348303,0.656927977,0.487447146,0.51087937,0.536063787,0.670844675
85,0.060989603,0.051215276,0.216883504,0.116132177,0.080674304,0.043588255,0.117855659,0.146551299,0.16527241,0.089422824,0.028159976,0.035887243,0.028970411,0.036083644,0.696907691,0.513993685,0.658434167,0.85772,0.717003351,0.455255273,0.624804878,0.89801159,0.861461848,0.717686775,0.55983059,0.600923765,0.583798545,0.741734197
86,0.056956811,0.052910457,0.219441778,0.095919838,0.068249065,0.041440043,0.108071232,0.144602418,0.127778214,0.077935023,0.02534453,0.04216696,0.060273913,0.062911801,0.745543183,0.552013614,0.763139167,0.893115,0.749080664,0.45698022,0.644233266,0.91492791,0.871697976,0.751265114,0.580522688,0.597462746,0.61137038,0.759272321
87,0.048472414,0.054817811,0.216872475,0.076132391,0.054463697,0.037844926,0.096631685,0.123191684,0.090019842,0.064247368,0.024285215,0.043182348,0.067813225,0.085762319,0.764837339,0.556971259,0.7761825,0.885915,0.752920857,0.498280996,0.668178722,0.900532167,0.865416509,0.746396488,0.591467693,0.643388394,0.637560629,0.765177877
88,0.038477286,0.055981449,0.218313166,0.067266011,0.04364415,0.030285766,0.091639594,0.109918992,0.06622505,0.047258881,0.015919138,0.041393083,0.068479106,0.071383023,0.731884529,0.546411289,0.7124975,0.90305,0.75510748,0.50236011,0.630146264,0.809264013,0.841199564,0.75028737,0.583002814,0.609181563,0.619261905,0.74278906
