time_index,BR_AC_rooftop_pv,BR_AL_rooftop_pv,BR_AM_rooftop_pv,BR_AP_rooftop_pv,BR_BA_rooftop_pv,BR_CE_rooftop_pv,BR_ES_rooftop_pv,BR_GO_rooftop_pv,BR_DF_rooftop_pv,BR_MA_rooftop_pv,BR_MG_rooftop_pv,BR_MS_rooftop_pv,BR_MT_rooftop_pv,BR_PA_rooftop_pv,BR_PB_rooftop_pv,BR_PE_rooftop_pv,BR_PI_rooftop_pv,BR_PR_rooftop_pv,BR_RJ_rooftop_pv,BR_RN_rooftop_pv,BR_RO_rooftop_pv,BR_RR_rooftop_pv,BR_RS_rooftop_pv,BR_SC_rooftop_pv,BR_SE_rooftop_pv,BR_SP_rooftop_pv,BR_TO_rooftop_pv
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,0.006615,0,0,0.002365658,0.000153542,0.007436154,0,0,0,0.001740826,0,0,0,0.003936,0.003698333,0,0,0.00629,0.004362,0,0,2.97E-05,0.000313333,0.005375,0.0003,0
103,0,0.13887,0,5.89E-05,0.108253665,0.072415744,0.157706923,0.032563806,0.032563806,0.028919949,0.114044772,0.01455575,0.005201583,0.002489183,0.111186667,0.087559833,0.036648901,0.042486669,0.116181667,0.124092,0,0,0.059537814,0.060046957,0.140763333,0.070856294,0.029160165
104,0.001737619,0.349478333,0.012869247,0.056797632,0.298384536,0.212826577,0.380423077,0.21691808,0.21691808,0.156358444,0.340776486,0.165445779,0.12678374,0.089790562,0.292352,0.248881,0.142349816,0.217423919,0.32219,0.323976667,0.029937257,0.010738036,0.214196048,0.218025725,0.345286667,0.269496881,0.20685229
105,0.049243333,0.473913333,0.077991398,0.195308158,0.483846938,0.361627887,0.578066923,0.417541233,0.417541233,0.287722043,0.562425791,0.370336597,0.317507775,0.25365138,0.431503333,0.397156333,0.28819707,0.421850454,0.492125,0.475731333,0.166793621,0.194071429,0.386702636,0.421297609,0.509568333,0.474672095,0.39045361
106,0.103059524,0.542146667,0.145112796,0.286114474,0.611375351,0.47884869,0.669231538,0.586034706,0.586034706,0.438974936,0.722517554,0.552041327,0.488476062,0.391809057,0.566432667,0.517382,0.385961933,0.57656835,0.64338,0.609413333,0.309484316,0.4045425,0.507000688,0.537653116,0.619931667,0.620106867,0.511287087
