Time_Index,natgas_price_BR,natgas_LNG_price_BR,coal_price_BR,coal_price_imported,uranium_price_BR,gasoline_fossil_price_BR,diesel_fossil_price_BR,jetfuel_fossil_price_BR
260,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
261,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
262,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
263,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
264,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
265,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
266,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
267,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
268,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
269,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
270,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
271,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
272,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
273,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
274,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
275,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
276,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
277,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
278,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
279,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
280,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
281,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
282,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
283,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
284,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
285,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
286,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
287,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
288,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
289,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
290,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
291,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
