Time_Index,Amazonas_hydro_ror,Doce_hydro_ror,Grande_hydro_ror,Iguacu_hydro_ror,Jacui_capivari_hydro_ror,Jequitinhonha_hydro_ror,Paraiba_do_sul_hydro_ror,Parana_hydro_ror,Paranaiba_hydro_ror,Paranapanema_hydro_ror,Sao_francisco_hydro_ror,Tiete_hydro_ror,Tocantins_hydro_ror,Uruguai_hydro_ror
148,0.02529046,0.743006858,1.0,0.419856705,0.39972799,1.0,0.594960239,1.0,0.71842035,0.913418488,0.441164341,1.0,0.958399747,0.363617961
149,0.02529046,0.743006858,1.0,0.419856705,0.39972799,1.0,0.594960239,1.0,0.71842035,0.913418488,0.441164341,1.0,0.958399747,0.363617961
150,0.02529046,0.743006858,1.0,0.419856705,0.39972799,1.0,0.594960239,1.0,0.71842035,0.913418488,0.441164341,1.0,0.958399747,0.363617961
151,0.02529046,0.743006858,1.0,0.419856705,0.39972799,1.0,0.594960239,1.0,0.71842035,0.913418488,0.441164341,1.0,0.958399747,0.363617961
152,0.02529046,0.743006858,1.0,0.419856705,0.39972799,1.0,0.594960239,1.0,0.71842035,0.913418488,0.441164341,1.0,0.958399747,0.363617961
153,0.02529046,0.743006858,1.0,0.419856705,0.39972799,1.0,0.594960239,1.0,0.71842035,0.913418488,0.441164341,1.0,0.958399747,0.363617961
154,0.02529046,0.743006858,1.0,0.419856705,0.39972799,1.0,0.594960239,1.0,0.71842035,0.913418488,0.441164341,1.0,0.958399747,0.363617961
155,0.02529046,0.743006858,1.0,0.419856705,0.39972799,1.0,0.594960239,1.0,0.71842035,0.913418488,0.441164341,1.0,0.958399747,0.363617961
156,0.02529046,0.743006858,1.0,0.419856705,0.39972799,1.0,0.594960239,1.0,0.71842035,0.913418488,0.441164341,1.0,0.958399747,0.363617961
157,0.02529046,0.743006858,1.0,0.419856705,0.39972799,1.0,0.594960239,1.0,0.71842035,0.913418488,0.441164341,1.0,0.958399747,0.363617961
158,0.02529046,0.743006858,1.0,0.419856705,0.39972799,1.0,0.594960239,1.0,0.71842035,0.913418488,0.441164341,1.0,0.958399747,0.363617961
159,0.02529046,0.743006858,1.0,0.419856705,0.39972799,1.0,0.594960239,1.0,0.71842035,0.913418488,0.441164341,1.0,0.958399747,0.363617961
160,0.02529046,0.743006858,1.0,0.419856705,0.39972799,1.0,0.594960239,1.0,0.71842035,0.913418488,0.441164341,1.0,0.958399747,0.363617961
161,0.02529046,0.743006858,1.0,0.419856705,0.39972799,1.0,0.594960239,1.0,0.71842035,0.913418488,0.441164341,1.0,0.958399747,0.363617961
162,0.02529046,0.743006858,1.0,0.419856705,0.39972799,1.0,0.594960239,1.0,0.71842035,0.913418488,0.441164341,1.0,0.958399747,0.363617961
163,0.02529046,0.743006858,1.0,0.419856705,0.39972799,1.0,0.594960239,1.0,0.71842035,0.913418488,0.441164341,1.0,0.958399747,0.363617961
164,0.02529046,0.743006858,1.0,0.419856705,0.39972799,1.0,0.594960239,1.0,0.71842035,0.913418488,0.441164341,1.0,0.958399747,0.363617961
165,0.02529046,0.743006858,1.0,0.419856705,0.39972799,1.0,0.594960239,1.0,0.71842035,0.913418488,0.441164341,1.0,0.958399747,0.363617961
