elec_demand_SE,elec_demand_S,elec_demand_NE,elec_demand_N,elec_demand_MW
8090,2310,1103,1103,2310
8673,2477,1182,1182,2477
9069,2590,1236,1236,2590
9285,2652,1266,1266,2652
9361,2674,1276,1276,2674
9332,2665,1272,1272,2665
9237,2638,1259,1259,2638
9137,2610,1246,1246,2610
9177,2621,1251,1251,2621
9706,2772,1323,1323,2772
10782,3079,1470,1470,3079
10950,3127,1493,1493,3127
10691,3053,1458,1458,3053
10288,2938,1403,1403,2938
9638,2753,1314,1314,2753
8849,2527,1206,1206,2527
8115,2318,1106,1106,2318
7619,2176,1039,1039,2176
7374,2106,1005,1005,2106
7278,2079,992,992,2079
7307,2087,996,996,2087
7571,2162,1032,1032,2162
8318,2375,1134,1134,2375
9726,2778,1326,1326,2778
10481,2993,1428,1428,2993
10580,3021,1443,1443,3021
10670,3047,1454,1454,3047
10661,3045,1454,1454,3045
10615,3031,1447,1447,3031
10532,3008,1436,1436,3008
10454,2985,1425,1425,2985
10343,2954,1410,1410,2954
10379,2965,1415,1415,2965
10817,3089,1474,1474,3089
11845,3383,1615,1615,3383
11974,3420,1633,1633,3420
11692,3339,1594,1594,3339
11253,3214,1535,1535,3214
10485,2995,1429,1429,2995
9509,2715,1297,1297,2715
8633,2465,1176,1176,2465
8084,2309,1102,1102,2309
7784,2224,1061,1061,2224
7640,2182,1041,1041,2182
7626,2178,1040,1040,2178
7846,2241,1070,1070,2241
8557,2444,1166,1166,2444
9910,2830,1351,1351,2830
10659,3044,1454,1454,3044
10732,3065,1463,1463,3065
10721,3061,1462,1462,3061
10670,3047,1454,1454,3047
10547,3012,1438,1438,3012
10366,2960,1414,1414,2960
10220,2919,1393,1393,2919
10048,2870,1370,1370,2870
9990,2853,1362,1362,2853
10334,2951,1408,1408,2951
11293,3226,1540,1540,3226
11423,3262,1557,1557,3262
11148,3184,1520,1520,3184
10694,3054,1458,1458,3054
9971,2848,1359,1359,2848
9016,2574,1229,1229,2574
8164,2332,1113,1113,2332
7617,2175,1038,1038,2175
7315,2089,997,997,2089
7170,2048,977,977,2048
7170,2048,978,978,2048
7373,2105,1005,1005,2105
8095,2312,1104,1104,2312
9447,2698,1288,1288,2698
10228,2921,1394,1394,2921
10305,2943,1405,1405,2943
10312,2945,1406,1406,2945
10304,2943,1405,1405,2943
10283,2937,1402,1402,2937
10177,2906,1388,1388,2906
10079,2879,1374,1374,2879
9877,2820,1347,1347,2820
9792,2796,1335,1335,2796
10075,2877,1373,1373,2877
10970,3133,1495,1495,3133
11092,3168,1512,1512,3168
10820,3090,1475,1475,3090
10384,2965,1416,1416,2965
9678,2764,1319,1319,2764
8738,2495,1191,1191,2495
7904,2258,1077,1077,2258
7365,2103,1004,1004,2103
7087,2024,966,966,2024
6960,1988,949,949,1988
6971,1991,950,950,1991
7203,2057,982,982,2057
7953,2271,1084,1084,2271
9355,2672,1275,1275,2672
10098,2884,1377,1377,2884
10236,2923,1395,1395,2923
10329,2950,1408,1408,2950
10429,2979,1422,1422,2979
10452,2985,1425,1425,2985
10410,2973,1419,1419,2973
10392,2968,1417,1417,2968
10359,2958,1412,1412,2958
10453,2985,1425,1425,2985
10905,3115,1487,1487,3115
11580,3307,1579,1579,3307
11613,3316,1583,1583,3316
11346,3241,1547,1547,3241
10934,3123,1491,1491,3123
10226,2920,1394,1394,2920
9304,2657,1268,1268,2657
8477,2421,1156,1156,2421
7935,2266,1082,1082,2266
7646,2184,1042,1042,2184
7543,2154,1028,1028,2154
7558,2158,1030,1030,2158
7791,2225,1062,1062,2225
8547,2440,1165,1165,2440
9940,2839,1355,1355,2839
10626,3035,1449,1449,3035
10710,3059,1460,1460,3059
10685,3051,1457,1457,3051
10660,3045,1454,1454,3045
10557,3015,1439,1439,3015
10365,2960,1413,1413,2960
10235,2923,1395,1395,2923
10076,2878,1373,1373,2878
10023,2863,1367,1367,2863
10322,2948,1407,1407,2948
11148,3184,1519,1519,3184
11260,3216,1535,1535,3216
10982,3136,1497,1497,3136
10613,3030,1447,1447,3030
10061,2873,1372,1372,2873
9309,2659,1269,1269,2659
8499,2427,1159,1159,2427
7901,2256,1077,1077,2256
7570,2162,1032,1032,2162
7387,2109,1007,1007,2109
7316,2089,997,997,2089
7371,2105,1004,1004,2105
7638,2181,1041,1041,2181
8163,2331,1113,1113,2331
8703,2485,1186,1186,2485
9272,2648,1264,1264,2648
9619,2747,1312,1312,2747
9738,2781,1328,1328,2781
9663,2760,1318,1318,2760
9503,2714,1296,1296,2714
9303,2657,1268,1268,2657
9178,2621,1252,1252,2621
9189,2625,1252,1252,2625
9551,2728,1302,1302,2728
10473,2991,1428,1428,2991
10674,3048,1455,1455,3048
10427,2978,1422,1422,2978
10133,2894,1382,1382,2894
9685,2766,1320,1320,2766
9087,2595,1239,1239,2595
8459,2416,1153,1153,2416
7956,2272,1085,1085,2272
7671,2191,1045,1045,2191
7538,2153,1028,1028,2153
7501,2142,1023,1023,2142
7559,2158,1030,1030,2158
7779,2222,1060,1060,2222
8146,2326,1110,1110,2326
8595,2454,1171,1171,2454
9189,2625,1252,1252,2625
9570,2733,1305,1305,2733
9729,2778,1326,1326,2778
9782,2794,1333,1333,2794
9742,2782,1328,1328,2782
9604,2743,1309,1309,2743
9506,2715,1296,1296,2715
9559,2730,1303,1303,2730
9975,2849,1360,1360,2849
10870,3104,1482,1482,3104
10727,3063,1463,1463,3063
10204,2915,1391,1391,2915
9940,2839,1355,1355,2839
9511,2716,1297,1297,2716
9184,2623,1252,1252,2623
8431,2408,1149,1149,2408
7866,2246,1072,1072,2246
7599,2170,1036,1036,2170
7502,2143,1023,1023,2143
7529,2150,1026,1026,2150
7768,2219,1059,1059,2219
8497,2427,1158,1158,2427
9827,2806,1340,1340,2806
10489,2995,1430,1430,2995
10582,3022,1443,1443,3022
10526,3006,1435,1435,3006
10498,2998,1431,1431,2998
10405,2971,1418,1418,2971
10220,2919,1393,1393,2919
10077,2878,1374,1374,2878
9898,2827,1349,1349,2827
9825,2805,1339,1339,2805
10130,2893,1381,1381,2893
11094,3168,1513,1513,3168
11372,3248,1550,1550,3248
11090,3167,1512,1512,3167
10602,3028,1445,1445,3028
9842,2811,1342,1342,2811
8928,2549,1217,1217,2549
8095,2312,1104,1104,2312
7570,2162,1032,1032,2162
7296,2083,994,994,2083
7187,2053,979,979,2053
7201,2056,982,982,2056
7441,2125,1014,1014,2125
8197,2341,1117,1117,2341
9544,2725,1301,1301,2725
10218,2918,1393,1393,2918
10289,2939,1403,1403,2939
10297,2940,1403,1403,2940
10306,2944,1405,1405,2944
10273,2934,1400,1400,2934
10169,2904,1386,1386,2904
10091,2882,1376,1376,2882
9965,2846,1358,1358,2846
9973,2848,1359,1359,2848
10317,2946,1407,1407,2946
11227,3206,1530,1530,3206
11454,3271,1561,1561,3271
11223,3205,1530,1530,3205
10814,3088,1474,1474,3088
10112,2888,1378,1378,2888
9190,2625,1253,1253,2625
8397,2398,1145,1145,2398
7897,2255,1076,1076,2255
7658,2187,1044,1044,2187
7580,2164,1033,1033,2164
7627,2179,1040,1040,2179
7884,2252,1075,1075,2252
8679,2479,1183,1183,2479
10080,2879,1374,1374,2879
10760,3073,1467,1467,3073
10844,3096,1479,1479,3096
10789,3081,1471,1471,3081
10722,3062,1462,1462,3062
10601,3028,1445,1445,3028
10436,2980,1423,1423,2980
