time_index,res_basin_N,ror_basin_N,res_basin_NE,ror_basin_NE,res_basin_S,ror_basin_S,res_basin_SE,ror_basin_SE
203,0.397239965,0.060283935,0.306950891,0.260459575,1,1,0.668295723,0.963077142
204,0.397239965,0.060283935,0.306950891,0.260459575,1,1,0.668295723,0.963077142
205,0.397239965,0.060283935,0.306950891,0.260459575,1,1,0.668295723,0.963077142
206,0.397239965,0.060283935,0.306950891,0.260459575,1,1,0.668295723,0.963077142
207,0.397239965,0.060283935,0.306950891,0.260459575,1,1,0.668295723,0.963077142
208,0.397239965,0.060283935,0.306950891,0.260459575,1,1,0.668295723,0.963077142
209,0.397239965,0.060283935,0.306950891,0.260459575,1,1,0.668295723,0.963077142
210,0.397239965,0.060283935,0.306950891,0.260459575,1,1,0.668295723,0.963077142
211,0.397239965,0.060283935,0.306950891,0.260459575,1,1,0.668295723,0.963077142
212,0.397239965,0.060283935,0.306950891,0.260459575,1,1,0.668295723,0.963077142
213,0.397239965,0.060283935,0.306950891,0.260459575,1,1,0.668295723,0.963077142
214,0.397239965,0.060283935,0.306950891,0.260459575,1,1,0.668295723,0.963077142
215,0.397239965,0.060283935,0.306950891,0.260459575,1,1,0.668295723,0.963077142
216,0.397239965,0.060283935,0.306950891,0.260459575,1,1,0.668295723,0.963077142
217,0.438109108,0.065779056,0.301622507,0.256074482,1,1,0.724269697,1
218,0.438109108,0.065779056,0.301622507,0.256074482,1,1,0.724269697,1
219,0.438109108,0.065779056,0.301622507,0.256074482,1,1,0.724269697,1
220,0.438109108,0.065779056,0.301622507,0.256074482,1,1,0.724269697,1
221,0.438109108,0.065779056,0.301622507,0.256074482,1,1,0.724269697,1
222,0.438109108,0.065779056,0.301622507,0.256074482,1,1,0.724269697,1
223,0.438109108,0.065779056,0.301622507,0.256074482,1,1,0.724269697,1
224,0.438109108,0.065779056,0.301622507,0.256074482,1,1,0.724269697,1
225,0.438109108,0.065779056,0.301622507,0.256074482,1,1,0.724269697,1
226,0.438109108,0.065779056,0.301622507,0.256074482,1,1,0.724269697,1
227,0.438109108,0.065779056,0.301622507,0.256074482,1,1,0.724269697,1
228,0.438109108,0.065779056,0.301622507,0.256074482,1,1,0.724269697,1
229,0.438109108,0.065779056,0.301622507,0.256074482,1,1,0.724269697,1
230,0.438109108,0.065779056,0.301622507,0.256074482,1,1,0.724269697,1
231,0.438109108,0.065779056,0.301622507,0.256074482,1,1,0.724269697,1
232,0.438109108,0.065779056,0.301622507,0.256074482,1,1,0.724269697,1
233,0.438109108,0.065779056,0.301622507,0.256074482,1,1,0.724269697,1
234,0.438109108,0.065779056,0.301622507,0.256074482,1,1,0.724269697,1
235,0.438109108,0.065779056,0.301622507,0.256074482,1,1,0.724269697,1
236,0.438109108,0.065779056,0.301622507,0.256074482,1,1,0.724269697,1
237,0.438109108,0.065779056,0.301622507,0.256074482,1,1,0.724269697,1
238,0.438109108,0.065779056,0.301622507,0.256074482,1,1,0.724269697,1
239,0.438109108,0.065779056,0.301622507,0.256074482,1,1,0.724269697,1
240,0.438109108,0.065779056,0.301622507,0.256074482,1,1,0.724269697,1
241,0.483511659,0.071699853,0.3209346,0.275862409,1,1,0.792225712,1
242,0.483511659,0.071699853,0.3209346,0.275862409,1,1,0.792225712,1
243,0.483511659,0.071699853,0.3209346,0.275862409,1,1,0.792225712,1
244,0.483511659,0.071699853,0.3209346,0.275862409,1,1,0.792225712,1
245,0.483511659,0.071699853,0.3209346,0.275862409,1,1,0.792225712,1
246,0.483511659,0.071699853,0.3209346,0.275862409,1,1,0.792225712,1
247,0.483511659,0.071699853,0.3209346,0.275862409,1,1,0.792225712,1
248,0.483511659,0.071699853,0.3209346,0.275862409,1,1,0.792225712,1
249,0.483511659,0.071699853,0.3209346,0.275862409,1,1,0.792225712,1
250,0.483511659,0.071699853,0.3209346,0.275862409,1,1,0.792225712,1
251,0.483511659,0.071699853,0.3209346,0.275862409,1,1,0.792225712,1
252,0.483511659,0.071699853,0.3209346,0.275862409,1,1,0.792225712,1
253,0.483511659,0.071699853,0.3209346,0.275862409,1,1,0.792225712,1
254,0.483511659,0.071699853,0.3209346,0.275862409,1,1,0.792225712,1
255,0.483511659,0.071699853,0.3209346,0.275862409,1,1,0.792225712,1
256,0.483511659,0.071699853,0.3209346,0.275862409,1,1,0.792225712,1
257,0.483511659,0.071699853,0.3209346,0.275862409,1,1,0.792225712,1
258,0.483511659,0.071699853,0.3209346,0.275862409,1,1,0.792225712,1
259,0.483511659,0.071699853,0.3209346,0.275862409,1,1,0.792225712,1
260,0.483511659,0.071699853,0.3209346,0.275862409,1,1,0.792225712,1
261,0.483511659,0.071699853,0.3209346,0.275862409,1,1,0.792225712,1
262,0.483511659,0.071699853,0.3209346,0.275862409,1,1,0.792225712,1
263,0.483511659,0.071699853,0.3209346,0.275862409,1,1,0.792225712,1
264,0.483511659,0.071699853,0.3209346,0.275862409,1,1,0.792225712,1
265,0.529180518,0.080102965,0.335315071,0.291978829,0.870500345,0.890109803,0.881195251,1
266,0.529180518,0.080102965,0.335315071,0.291978829,0.870500345,0.890109803,0.881195251,1
267,0.529180518,0.080102965,0.335315071,0.291978829,0.870500345,0.890109803,0.881195251,1
268,0.529180518,0.080102965,0.335315071,0.291978829,0.870500345,0.890109803,0.881195251,1
269,0.529180518,0.080102965,0.335315071,0.291978829,0.870500345,0.890109803,0.881195251,1
270,0.529180518,0.080102965,0.335315071,0.291978829,0.870500345,0.890109803,0.881195251,1
271,0.529180518,0.080102965,0.335315071,0.291978829,0.870500345,0.890109803,0.881195251,1
272,0.529180518,0.080102965,0.335315071,0.291978829,0.870500345,0.890109803,0.881195251,1
273,0.529180518,0.080102965,0.335315071,0.291978829,0.870500345,0.890109803,0.881195251,1
274,0.529180518,0.080102965,0.335315071,0.291978829,0.870500345,0.890109803,0.881195251,1
275,0.529180518,0.080102965,0.335315071,0.291978829,0.870500345,0.890109803,0.881195251,1
276,0.529180518,0.080102965,0.335315071,0.291978829,0.870500345,0.890109803,0.881195251,1
277,0.529180518,0.080102965,0.335315071,0.291978829,0.870500345,0.890109803,0.881195251,1
278,0.529180518,0.080102965,0.335315071,0.291978829,0.870500345,0.890109803,0.881195251,1
279,0.529180518,0.080102965,0.335315071,0.291978829,0.870500345,0.890109803,0.881195251,1
280,0.529180518,0.080102965,0.335315071,0.291978829,0.870500345,0.890109803,0.881195251,1
281,0.529180518,0.080102965,0.335315071,0.291978829,0.870500345,0.890109803,0.881195251,1
282,0.529180518,0.080102965,0.335315071,0.291978829,0.870500345,0.890109803,0.881195251,1
283,0.529180518,0.080102965,0.335315071,0.291978829,0.870500345,0.890109803,0.881195251,1
284,0.529180518,0.080102965,0.335315071,0.291978829,0.870500345,0.890109803,0.881195251,1
285,0.529180518,0.080102965,0.335315071,0.291978829,0.870500345,0.890109803,0.881195251,1
286,0.529180518,0.080102965,0.335315071,0.291978829,0.870500345,0.890109803,0.881195251,1
287,0.529180518,0.080102965,0.335315071,0.291978829,0.870500345,0.890109803,0.881195251,1
288,0.529180518,0.080102965,0.335315071,0.291978829,0.870500345,0.890109803,0.881195251,1
289,0.560966468,0.084281138,0.343145473,0.297746477,0.707237719,0.720686765,0.97669953,1
290,0.560966468,0.084281138,0.343145473,0.297746477,0.707237719,0.720686765,0.97669953,1
291,0.560966468,0.084281138,0.343145473,0.297746477,0.707237719,0.720686765,0.97669953,1
292,0.560966468,0.084281138,0.343145473,0.297746477,0.707237719,0.720686765,0.97669953,1
293,0.560966468,0.084281138,0.343145473,0.297746477,0.707237719,0.720686765,0.97669953,1
294,0.560966468,0.084281138,0.343145473,0.297746477,0.707237719,0.720686765,0.97669953,1
