Time_Index;elec_demand_SE;elec_demand_S;elec_demand_NE;elec_demand_N;Demand_Zero
485;2972.673;991.16;2341.262;1591.693;0
486;3222.497;936.283;2443.849;1571.42;0
487;6186.88;1446.341;4768.062;1713.126;0
488;12385.249;2290.887;8396.494;2051.73;0
489;16951.161;3420.358;9918.63;2307.425;0
490;19672.698;4332.908;11781.913;2581.441;0
491;21357.456;4963.26;12898.629;2900.78;0
492;21987.569;5422.141;13220.655;3168.202;0
493;21840.499;5478.721;13405.913;3204.962;0
494;20800.057;5360.776;13292.79;3069.241;0
495;19189.411;4933.464;12956.938;2777.834;0
496;16080.119;4244.84;12955.596;2544.172;0
497;11931.198;3383.417;11809.678;2264.33;0
498;7187.755;2166.495;9049.175;1916.048;0
499;3797.973;1175.494;7673.183;1735.546;0
500;3267.526;765.119;7687.558;1723.679;0
501;3274.576;775.796;7995.996;1773.219;0
502;3272.55;762.462;8081.657;1772.093;0
503;3126.228;751.694;8149.685;1827.175;0
504;2999.068;708.104;8389.549;1888.752;0
505;3004.79;648.111;8314.585;1882.04;0
506;3003.317;612.963;8502.035;1793.546;0
507;3010.704;553.605;8463.112;1764.135;0
508;3008.923;527.477;7830.673;1683.714;0
509;3006.2;506.672;7299.949;1727.91;0
510;3243.776;574.614;6656.229;1750.382;0
511;6384.257;1187.665;8066.611;1897.657;0
512;12265.413;2326.32;11541.993;2125.221;0
513;15758.265;3540.613;13229.085;2456.541;0
514;18400.223;4570.847;14579.783;2776.438;0
515;20751.236;5122.391;14923.759;3173.914;0
516;21537.58;5273.65;15293.031;3261.95;0
517;20691.243;5304.816;15016.839;3106.953;0
518;19446.868;5137.458;14325.322;3028.357;0
519;17665.541;4633.704;13825.356;2941.438;0
520;14894.465;3855.316;14079.25;2757.624;0
521;11568.985;2967.245;12766.606;2499.987;0
522;7847.458;1964.171;9707.764;2165.886;0
523;4040.989;1071.008;8793.994;1900.387;0
524;3390.491;735.728;9623.388;1924.165;0
525;3221.465;838.171;10006.463;1946.927;0
526;3287.145;874.083;10664.792;1994.391;0
527;3097.514;841.86;10873.787;1982.285;0
528;3002.33;888.514;10170.789;1950.455;0
529;3009.915;946.242;10176.433;1972.789;0
530;3003.278;977.273;10575.962;2035.987;0
531;3006.948;930.813;10718.263;1944.821;0
532;3007.507;879.105;10928.781;1797.866;0
533;3010.793;943.268;11452.508;1743.594;0
534;3219.986;1056.757;11587.319;1649.966;0
535;6321.506;1682.653;10504.444;1709.196;0
536;11881.959;2821.942;10248.291;2026.749;0
537;14880.911;3985.612;11256.929;2385.741;0
538;17558.832;5000.838;11163.585;2733.646;0
539;18931.252;5693.911;11054.205;3128.486;0
540;19919.454;6014.022;12009.431;3262.922;0
541;19986.748;5869.565;11793.004;3114.08;0
542;19037.576;5443.123;11991.695;2906.886;0
543;17275.377;4645.498;12206.065;2854.399;0
544;14574.379;3898.635;11916.28;2687.048;0
545;11890.117;3148.675;11082.412;2358.352;0
546;8969.522;2452.312;8595.557;2118.923;0
