Time_Index,natgas_price_BR,natgas_LNG_price_BR,coal_price_BR,coal_price_imported,uranium_price_BR,gasoline_fossil_price_BR,diesel_fossil_price_BR,jetfuel_fossil_price_BR,aviationgasoline_price_BR,heavyfueloil_price_BR
290,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
291,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
292,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
293,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
294,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
295,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
296,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
297,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
298,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
299,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
300,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
301,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
302,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
303,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
304,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
305,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
306,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
307,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
308,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
309,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
310,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
311,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
312,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
313,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
314,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
315,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
316,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
317,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
318,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
319,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
320,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
321,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
322,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
323,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
324,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
325,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
326,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
327,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
328,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
329,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
330,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
331,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
332,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
333,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
334,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
335,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
336,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
337,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
338,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
339,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
340,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
341,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
342,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
343,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
344,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
345,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
346,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
347,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
348,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
349,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
350,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
351,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
352,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
