Time_Index,natgas_price_BR,coal_price_BR,coal_price_imported,uranium_price_BR,gasoline_fossil_price_BR,diesel_fossil_price_BR,jetfuel_fossil_price_BR
264,26.1,12.58,17.41,4.535,22.67,33.81,55.67
265,26.1,12.58,17.41,4.535,22.67,33.81,55.67
266,26.1,12.58,17.41,4.535,22.67,33.81,55.67
267,26.1,12.58,17.41,4.535,22.67,33.81,55.67
268,26.1,12.58,17.41,4.535,22.67,33.81,55.67
269,26.1,12.58,17.41,4.535,22.67,33.81,55.67
270,26.1,12.58,17.41,4.535,22.67,33.81,55.67
271,26.1,12.58,17.41,4.535,22.67,33.81,55.67
272,26.1,12.58,17.41,4.535,22.67,33.81,55.67
273,26.1,12.58,17.41,4.535,22.67,33.81,55.67
274,26.1,12.58,17.41,4.535,22.67,33.81,55.67
275,26.1,12.58,17.41,4.535,22.67,33.81,55.67
276,26.1,12.58,17.41,4.535,22.67,33.81,55.67
277,26.1,12.58,17.41,4.535,22.67,33.81,55.67
278,26.1,12.58,17.41,4.535,22.67,33.81,55.67
279,26.1,12.58,17.41,4.535,22.67,33.81,55.67
280,26.1,12.58,17.41,4.535,22.67,33.81,55.67
281,26.1,12.58,17.41,4.535,22.67,33.81,55.67
282,26.1,12.58,17.41,4.535,22.67,33.81,55.67
283,26.1,12.58,17.41,4.535,22.67,33.81,55.67
284,26.1,12.58,17.41,4.535,22.67,33.81,55.67
285,26.1,12.58,17.41,4.535,22.67,33.81,55.67
286,26.1,12.58,17.41,4.535,22.67,33.81,55.67
287,26.1,12.58,17.41,4.535,22.67,33.81,55.67
288,26.1,12.58,17.41,4.535,22.67,33.81,55.67
289,26.1,12.58,17.41,4.535,22.67,33.81,55.67
290,26.1,12.58,17.41,4.535,22.67,33.81,55.67
291,26.1,12.58,17.41,4.535,22.67,33.81,55.67
292,26.1,12.58,17.41,4.535,22.67,33.81,55.67
293,26.1,12.58,17.41,4.535,22.67,33.81,55.67
294,26.1,12.58,17.41,4.535,22.67,33.81,55.67
295,26.1,12.58,17.41,4.535,22.67,33.81,55.67
296,26.1,12.58,17.41,4.535,22.67,33.81,55.67
297,26.1,12.58,17.41,4.535,22.67,33.81,55.67
298,26.1,12.58,17.41,4.535,22.67,33.81,55.67
299,26.1,12.58,17.41,4.535,22.67,33.81,55.67
300,26.1,12.58,17.41,4.535,22.67,33.81,55.67
301,26.1,12.58,17.41,4.535,22.67,33.81,55.67
302,26.1,12.58,17.41,4.535,22.67,33.81,55.67
303,26.1,12.58,17.41,4.535,22.67,33.81,55.67
304,26.1,12.58,17.41,4.535,22.67,33.81,55.67
305,26.1,12.58,17.41,4.535,22.67,33.81,55.67
306,26.1,12.58,17.41,4.535,22.67,33.81,55.67
307,26.1,12.58,17.41,4.535,22.67,33.81,55.67
308,26.1,12.58,17.41,4.535,22.67,33.81,55.67
309,26.1,12.58,17.41,4.535,22.67,33.81,55.67
310,26.1,12.58,17.41,4.535,22.67,33.81,55.67
311,26.1,12.58,17.41,4.535,22.67,33.81,55.67
312,26.1,12.58,17.41,4.535,22.67,33.81,55.67
313,26.1,12.58,17.41,4.535,22.67,33.81,55.67
314,26.1,12.58,17.41,4.535,22.67,33.81,55.67
315,26.1,12.58,17.41,4.535,22.67,33.81,55.67
316,26.1,12.58,17.41,4.535,22.67,33.81,55.67
317,26.1,12.58,17.41,4.535,22.67,33.81,55.67
318,26.1,12.58,17.41,4.535,22.67,33.81,55.67
319,26.1,12.58,17.41,4.535,22.67,33.81,55.67
320,26.1,12.58,17.41,4.535,22.67,33.81,55.67
321,26.1,12.58,17.41,4.535,22.67,33.81,55.67
322,26.1,12.58,17.41,4.535,22.67,33.81,55.67
323,26.1,12.58,17.41,4.535,22.67,33.81,55.67
324,26.1,12.58,17.41,4.535,22.67,33.81,55.67
325,26.1,12.58,17.41,4.535,22.67,33.81,55.67
326,26.1,12.58,17.41,4.535,22.67,33.81,55.67
327,26.1,12.58,17.41,4.535,22.67,33.81,55.67
328,26.1,12.58,17.41,4.535,22.67,33.81,55.67
329,26.1,12.58,17.41,4.535,22.67,33.81,55.67
330,26.1,12.58,17.41,4.535,22.67,33.81,55.67
331,26.1,12.58,17.41,4.535,22.67,33.81,55.67
332,26.1,12.58,17.41,4.535,22.67,33.81,55.67
333,26.1,12.58,17.41,4.535,22.67,33.81,55.67
334,26.1,12.58,17.41,4.535,22.67,33.81,55.67
335,26.1,12.58,17.41,4.535,22.67,33.81,55.67
336,26.1,12.58,17.41,4.535,22.67,33.81,55.67
337,26.1,12.58,17.41,4.535,22.67,33.81,55.67
338,26.1,12.58,17.41,4.535,22.67,33.81,55.67
339,26.1,12.58,17.41,4.535,22.67,33.81,55.67
340,26.1,12.58,17.41,4.535,22.67,33.81,55.67
341,26.1,12.58,17.41,4.535,22.67,33.81,55.67
342,26.1,12.58,17.41,4.535,22.67,33.81,55.67
343,26.1,12.58,17.41,4.535,22.67,33.81,55.67
344,26.1,12.58,17.41,4.535,22.67,33.81,55.67
345,26.1,12.58,17.41,4.535,22.67,33.81,55.67
346,26.1,12.58,17.41,4.535,22.67,33.81,55.67
347,26.1,12.58,17.41,4.535,22.67,33.81,55.67
348,26.1,12.58,17.41,4.535,22.67,33.81,55.67
349,26.1,12.58,17.41,4.535,22.67,33.81,55.67
350,26.1,12.58,17.41,4.535,22.67,33.81,55.67
351,26.1,12.58,17.41,4.535,22.67,33.81,55.67
352,26.1,12.58,17.41,4.535,22.67,33.81,55.67
353,26.1,12.58,17.41,4.535,22.67,33.81,55.67
354,26.1,12.58,17.41,4.535,22.67,33.81,55.67
355,26.1,12.58,17.41,4.535,22.67,33.81,55.67
356,26.1,12.58,17.41,4.535,22.67,33.81,55.67
357,26.1,12.58,17.41,4.535,22.67,33.81,55.67
358,26.1,12.58,17.41,4.535,22.67,33.81,55.67
359,26.1,12.58,17.41,4.535,22.67,33.81,55.67
360,26.1,12.58,17.41,4.535,22.67,33.81,55.67
361,26.1,12.58,17.41,4.535,22.67,33.81,55.67
362,26.1,12.58,17.41,4.535,22.67,33.81,55.67
363,26.1,12.58,17.41,4.535,22.67,33.81,55.67
364,26.1,12.58,17.41,4.535,22.67,33.81,55.67
365,26.1,12.58,17.41,4.535,22.67,33.81,55.67
366,26.1,12.58,17.41,4.535,22.67,33.81,55.67
367,26.1,12.58,17.41,4.535,22.67,33.81,55.67
368,26.1,12.58,17.41,4.535,22.67,33.81,55.67
369,26.1,12.58,17.41,4.535,22.67,33.81,55.67
370,26.1,12.58,17.41,4.535,22.67,33.81,55.67
371,26.1,12.58,17.41,4.535,22.67,33.81,55.67
372,26.1,12.58,17.41,4.535,22.67,33.81,55.67
373,26.1,12.58,17.41,4.535,22.67,33.81,55.67
374,26.1,12.58,17.41,4.535,22.67,33.81,55.67
375,26.1,12.58,17.41,4.535,22.67,33.81,55.67
376,26.1,12.58,17.41,4.535,22.67,33.81,55.67
377,26.1,12.58,17.41,4.535,22.67,33.81,55.67
378,26.1,12.58,17.41,4.535,22.67,33.81,55.67
379,26.1,12.58,17.41,4.535,22.67,33.81,55.67
380,26.1,12.58,17.41,4.535,22.67,33.81,55.67
381,26.1,12.58,17.41,4.535,22.67,33.81,55.67
382,26.1,12.58,17.41,4.535,22.67,33.81,55.67
383,26.1,12.58,17.41,4.535,22.67,33.81,55.67
384,26.1,12.58,17.41,4.535,22.67,33.81,55.67
385,26.1,12.58,17.41,4.535,22.67,33.81,55.67
386,26.1,12.58,17.41,4.535,22.67,33.81,55.67
387,26.1,12.58,17.41,4.535,22.67,33.81,55.67
388,26.1,12.58,17.41,4.535,22.67,33.81,55.67
389,26.1,12.58,17.41,4.535,22.67,33.81,55.67
390,26.1,12.58,17.41,4.535,22.67,33.81,55.67
391,26.1,12.58,17.41,4.535,22.67,33.81,55.67
392,26.1,12.58,17.41,4.535,22.67,33.81,55.67
393,26.1,12.58,17.41,4.535,22.67,33.81,55.67
394,26.1,12.58,17.41,4.535,22.67,33.81,55.67
395,26.1,12.58,17.41,4.535,22.67,33.81,55.67
396,26.1,12.58,17.41,4.535,22.67,33.81,55.67
397,26.1,12.58,17.41,4.535,22.67,33.81,55.67
398,26.1,12.58,17.41,4.535,22.67,33.81,55.67
399,26.1,12.58,17.41,4.535,22.67,33.81,55.67
400,26.1,12.58,17.41,4.535,22.67,33.81,55.67
401,26.1,12.58,17.41,4.535,22.67,33.81,55.67
402,26.1,12.58,17.41,4.535,22.67,33.81,55.67
403,26.1,12.58,17.41,4.535,22.67,33.81,55.67
404,26.1,12.58,17.41,4.535,22.67,33.81,55.67
405,26.1,12.58,17.41,4.535,22.67,33.81,55.67
406,26.1,12.58,17.41,4.535,22.67,33.81,55.67
407,26.1,12.58,17.41,4.535,22.67,33.81,55.67
408,26.1,12.58,17.41,4.535,22.67,33.81,55.67
409,26.1,12.58,17.41,4.535,22.67,33.81,55.67
410,26.1,12.58,17.41,4.535,22.67,33.81,55.67
411,26.1,12.58,17.41,4.535,22.67,33.81,55.67
412,26.1,12.58,17.41,4.535,22.67,33.81,55.67
413,26.1,12.58,17.41,4.535,22.67,33.81,55.67
414,26.1,12.58,17.41,4.535,22.67,33.81,55.67
415,26.1,12.58,17.41,4.535,22.67,33.81,55.67
416,26.1,12.58,17.41,4.535,22.67,33.81,55.67
417,26.1,12.58,17.41,4.535,22.67,33.81,55.67
418,26.1,12.58,17.41,4.535,22.67,33.81,55.67
419,26.1,12.58,17.41,4.535,22.67,33.81,55.67
420,26.1,12.58,17.41,4.535,22.67,33.81,55.67
421,26.1,12.58,17.41,4.535,22.67,33.81,55.67
422,26.1,12.58,17.41,4.535,22.67,33.81,55.67
423,26.1,12.58,17.41,4.535,22.67,33.81,55.67
424,26.1,12.58,17.41,4.535,22.67,33.81,55.67
425,26.1,12.58,17.41,4.535,22.67,33.81,55.67
426,26.1,12.58,17.41,4.535,22.67,33.81,55.67
427,26.1,12.58,17.41,4.535,22.67,33.81,55.67
428,26.1,12.58,17.41,4.535,22.67,33.81,55.67
429,26.1,12.58,17.41,4.535,22.67,33.81,55.67
430,26.1,12.58,17.41,4.535,22.67,33.81,55.67
431,26.1,12.58,17.41,4.535,22.67,33.81,55.67
